--- scanner 0 ---
-731,-763,-425
832,-512,-437
571,657,-514
594,551,-569
-604,638,718
-536,524,776
629,721,-564
-623,-444,440
-708,-610,437
550,-524,759
355,515,510
-683,877,-615
763,-622,-365
-833,-795,-362
-663,840,-668
-676,876,-848
7,-92,-35
560,-560,695
-559,539,599
528,-504,779
-709,-874,-390
457,445,563
841,-410,-363
-742,-511,374
422,463,367

--- scanner 1 ---
598,477,221
687,-702,-850
-586,-650,-945
-588,-636,-820
-676,-819,603
431,-621,738
-790,449,456
339,566,-635
386,708,-671
466,672,-647
245,-629,714
-674,520,398
-20,-191,-108
624,398,329
-712,486,-889
-851,477,396
-791,580,-833
627,330,296
623,-679,-824
-859,-833,629
697,-847,-874
-463,-586,-905
-607,554,-853
-789,-836,551
-168,-4,-10
413,-642,724

--- scanner 2 ---
676,816,-834
614,746,-853
-592,-743,-408
-72,47,-39
-744,-404,762
444,-703,786
753,-784,-474
-534,-783,-416
735,717,-765
568,482,582
-343,434,-675
-488,758,370
545,517,368
-489,888,446
-642,-821,-498
-351,372,-463
384,-705,874
-827,-527,719
624,-720,837
88,-28,74
503,604,524
-640,-593,761
-419,427,-552
690,-818,-490
-353,831,437
650,-734,-583

--- scanner 3 ---
-561,681,-898
-696,-781,-955
674,322,-753
-631,640,-859
421,399,364
-559,-639,519
451,-574,320
-599,-747,467
-813,515,442
809,328,-802
478,-579,460
-710,-656,-826
455,-597,-612
-600,-812,-818
555,-700,367
593,379,413
382,-629,-639
810,259,-767
-46,21,-86
-662,548,550
-618,-569,546
-710,453,457
-805,672,-885
479,482,472
444,-658,-572
75,-100,-5

--- scanner 4 ---
-720,-688,-429
75,21,146
-524,-443,905
-455,739,547
28,-141,13
-697,-360,919
826,-631,876
-556,623,540
710,450,-593
-545,-345,887
697,394,-509
767,-745,773
875,-803,856
614,-573,-535
542,624,862
-794,439,-772
561,-428,-543
-746,370,-754
-683,-626,-394
469,634,823
-628,431,-669
-754,-741,-370
741,613,-533
489,522,847
-374,623,575
664,-373,-571

--- scanner 5 ---
699,-825,730
537,-594,-346
346,566,583
-631,-481,703
-787,-523,790
859,752,-606
585,-767,662
424,-689,-351
-648,384,-472
684,-648,707
